code,name,reservoir,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
9250031,sallente,sallente,42.5003709690001,0.991459934000034,ebro,barranc lora,,,,lleida,cataluna,presa materiales sueltos pantalla asfaltica,1770.0,89.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2580
3450047,cazalegas,cazalegas dam,40.01298709,-4.70624804799996,tajo,rio alberche,https://www.google.com/search?kgmid=/g/11dfr4j268,,https://www.wikidata.org/wiki/Q30278314,toledo,castilla   mancha,presa materiales sueltos pantalla hormigon,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=902
9250014,lago negro,lago negro,42.5422861970001,1.04058219400002,ebro,,,,,lleida,cataluna,presa materiales sueltos zonificada o nucleo,2340.0,11.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2564
9500034,torcas,trocas reservoir,41.294686266,-1.08744698599997,ebro,rio huerva,,,https://www.wikidata.org/wiki/Q23991169,zaragoza,aragon,presa fabrica gravedad (hormigon vibrado),624.799999999999,39.45,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2845
3190006,bujeda,bujeda,40.244500658,-2.83518801499997,tajo,sin nombre,,,,guadalajara,castilla   mancha,presa materiales sueltos homogenea,905.5,39.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=742
3450026,torcon,torcon,39.6252768730001,-4.38550029999993,tajo,arroyo torcon,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=882
4130055,puerto vallehermoso,puerto vallehermoso,38.8679274180001,-3.16849076499994,guadiana,rio azuer,,,,ciudad real,castilla   mancha,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1143
4060047,brovales,brovales,38.345277652,-6.69588046499996,guadiana,arroyo brovales,,,,badajoz,extremadura,presa fabrica contrafuertes,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=974
3190001,almoguera,faltos,40.2743056580001,-2.95882007899996,tajo,rio tajo,https://www.google.com/search?kgmid=/g/12283wdk,,https://www.wikidata.org/wiki/Q5672943,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=737
9220010,bachimana alto,bachimana alto reservoir,42.782028102,-0.223491101999969,ebro,rio caldares,,,https://www.wikidata.org/wiki/Q95674644,huesca,aragon,presa fabrica mamposteria,2207.09999999999,38.1,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2427
3280017,jarosa,jarosa reservoir,40.6649699230001,-4.11756322999997,tajo,arroyo jarosa,,,https://www.wikidata.org/wiki/Q1329216,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),1088.0,54.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=795
3280013,jarosa,jarosa reservoir,40.6707061490001,-4.11778914799993,tajo,arroyo fuente corneja,,,https://www.wikidata.org/wiki/Q1329216,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),1088.09999999999,14.1,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=792
9500038,malvecino,malvecino,42.198660902,-1.39084274799995,ebro,barranco onzanova,,,,zaragoza,aragon,presa materiales sueltos zonificada o nucleo,404.0,26.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2849
2400016,ponton alto,ponton alto reservoir,40.9150074830001,-4.03624107199994,duero,rio eresma,https://www.google.com/search?kgmid=/g/120wrl3k,,https://www.wikidata.org/wiki/Q5830615,segovia,castilla y leon,presa fabrica boveda,1104.5,48.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=421
3450045,castro,castro,39.8064449990001,-3.75294972199993,tajo,rio algodor,,,,toledo,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=900
5110039,almodovar,embalse almodovar,36.1536149680001,-5.64973106899993,guadalete y barbate,rio almodovar,,,https://www.wikidata.org/wiki/Q5369429,cadiz,andalucia,presa fabrica gravedad (hormigon vibrado),107.2,40.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1364
9220067,ibon ip,ip reservoir,42.7228732190001,-0.462683542999969,ebro,barranco ip,,,https://www.wikidata.org/wiki/Q23999337,huesca,aragon,presa materiales sueltos zonificada o nucleo,2119.0,31.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2482
5230007,zocueca,zocueca,38.095561881,-3.83109787299998,guadalquivir,rio  rumblar,,,,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1543
1310009,san anton,san anton,43.277117956,-1.77374675199997,cantabrico oriental,rio endara,,,,navarra,comunidad foral navarra,presa materiales sueltos pantalla hormigon,247.0,56.7999999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=84
7300021,cierva,embalse cierva,38.0602631900001,-1.48765333199998,segura,rio mula,,,https://www.wikidata.org/wiki/Q107738426,murcia,region murcia,presa fabrica mamposteria,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2057
9220061,escarra,escarra reservoir,42.7450247100001,-0.352936039999975,ebro,rio escarra,,,https://www.wikidata.org/wiki/Q95675526,huesca,aragon,presa materiales sueltos zonificada o nucleo,1636.0,43.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2476
4130017,castilseras,castilseras,38.738908709,-4.80134611699998,guadiana,rio valdeazogues,,,,ciudad real,castilla   mancha,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1105
10430005,riudecanyes,riudecanyes,41.133459546,0.958540952000021,cuencas internas cataluna,riera riudecanyes,,,,tarragona,cataluna,presa fabrica mamposteria,220.5,51.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2918
