name,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
canelles,41.9785559910001,0.612325865000059,ebro,rio noguera ribagorcana,,,https://www.wikidata.org/wiki/Q1033116,huesca,aragon,presa fabrica boveda,508.0,151.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2438
portas,42.1144376730001,-7.20922708099994,mino sil,rio camba,,,,ourense,galicia,presa fabrica boveda,886.0,141.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=129
tous,39.13201271,-0.651384200999928,jucar,rio jucar,,,,valència valencia,comunitat valenciana,presa materiales sueltos zonificada o nucleo,162.5,135.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2305
susqueda,41.979226356,2.52687350900004,cuencas internas cataluna,riu ter,,,https://www.wikidata.org/wiki/Q7131953,girona,cataluna,presa fabrica boveda,357.0,135.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2908
belesar,42.6287771620001,-7.71239387399993,mino sil,rio mino,https://www.google.com/search?kgmid=/g/1214fx9h,,https://www.wikidata.org/wiki/Q3375700,lugo,galicia,presa fabrica boveda,332.0,132.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=65
grado i,42.1511967980001,0.234452975000067,ebro,rio cinca,,,,huesca,aragon,presa fabrica gravedad (hormigon vibrado),453.0,130.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2493
escales,42.326356092,0.744016995000038,ebro,rio noguera ribagorcana,https://www.google.com/search?kgmid=/g/121bwl92,,https://www.wikidata.org/wiki/Q2843621,huesca,aragon,presa fabrica gravedad (hormigon vibrado),823.5,125.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2479
llosa cavall,42.099721345,1.58281131400003,cuencas internas cataluna,riu cardener,,,,lleida,cataluna,presa fabrica boveda,810.299999999999,122.299999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2912
itoiz,42.802482335,-1.36089896199996,ebro,rio irati,https://www.google.com/search?kgmid=/g/121qg1xt,https://www.openstreetmap.org/relation/34330854,https://www.wikidata.org/wiki/Q3380147,navarra,comunidad foral navarra,presa fabrica gravedad (hormigon vibrado),592.0,122.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2741
iznajar,37.276152972,-4.38687256899993,guadalquivir,rio  genil,,,https://www.wikidata.org/wiki/Q5369447,cordoba,andalucia,presa fabrica gravedad (hormigon vibrado),426.0,121.599999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1450
