id,scope,name,capacity,electric_flag
3,guadalquivir,fernandina,247,0
5,guadalquivir,puebla cazalla,87,0
9,cuenca mediterranea andaluza,vinuela,170,0
11,cuenca mediterranea andaluza,rules,111,0
12,guadiana,burdalo,79,0
14,guadiana,cabezuela,43,0
18,mino   sil,castrelo mino,60,1
19,mino   sil,cenza,40,1
22,mino   sil,vilasouto,21,0
24,tajo,burguillo,217,0
26,tajo,entrepenas,886,0
29,tajo,valdeobispo,53,0
32,segura,talave,35,0
34,jucar,arenos,137,0
36,jucar,cortes ii,118,1
38,jucar,contreras,874,0
40,jucar,guadalest,13,0
42,jucar,ulldecona,11,0
44,ebro,barasona,92,0
46,ebro,calanda,54,0
47,ebro,cueva foradada,29,0
48,ebro,cavallers,16,1
50,ebro,puente santolea,18,0
51,ebro,san salvador,137,0
52,ebro,urdalur,6,0
54,ebro,sistema lagos espot,10,1
55,ebro,sotonera,189,0
58,cantabrico oriental,ordunte,22,0
60,guadalquivir,cala,59,1
61,guadalquivir,canales,71,0
65,guadalquivir,quentar,14,0
69,tinto. odiel y piedras,piedras,60,0
70,tinto. odiel y piedras,sancho,58,0
71,mino   sil,chandreja,61,1
72,mino   sil,frieira,44,1
74,mino   sil,velle,17,1
75,duero,burgomillodo,15,1
77,duero,cuerda pozo,249,0
78,duero,iruena,110,0
80,tajo,banos montemayor,41,0
89,ebro,gonzalez lacasa,33,0
91,ebro,mansilla,68,0
92,ebro,moneva,8,0
94,galicia costa,cecebre,22,0
95,cuencas internas cataluna,riudecanyes,5,0
96,galicia costa,portodemouros,297,1
97,cuencas internas cataluna,boadella,62,0
98,ebro,tranquera,84,0
100,guadalquivir,arenoso,167,0
108,guadalquivir,sierra boyera,41,0
109,guadalquivir,zufre,179,0
113,guadalete barbate,barbate,228,0
114,guadiana,aguijon,11,0
115,guadiana,canchales,26,0
117,guadiana,serena,3219,0
119,mino   sil,albarellos,91,1
120,mino   sil,edrada mao,15,1
121,duero,aguilar campoo,247,0
122,duero,aldeadavila,115,1
124,duero,camporredondo,70,0
126,duero,castro,38,1
127,duero,linares arroyo,58,0
129,duero,ricobayo,1200,1
133,tajo,navacerrada,11,0
135,tajo,salor,14,0
137,segura,anchuricas,8,1
138,segura,pedrera,246,0
141,jucar,regajo,6,0
142,ebro,camarasa,163,1
143,ebro,ebro,541,0
144,ebro,fitas,9,0
145,ebro,sallente,6,1
148,ebro,sistema capdella,50,1
149,ebro,ullivarri,147,1
151,cantabrico occidental,barca,35,1
157,guadalquivir,fresneda,19,0
159,guadalquivir,guadalmena,347,0
160,guadalquivir,huesna,138,0
162,guadalquivir,puente nuevo,286,0
164,guadalquivir,siles,30,0
170,guadiana,boqueron,6,0
171,guadiana,chanza,386,0
172,guadiana,montijo,11,0
173,guadiana,penarroya,51,0
177,mino   sil,campanana,14,1
178,mino   sil,portas,536,1
181,duero,uzquiza,75,0
182,duero,vencias,5,1
183,tajo,caceres   guadiloba,20,0
184,tajo,jerte,59,0
186,tajo,rivera gata,49,0
187,tajo,vado,56,0
188,segura,puentes iv,26,0
189,segura,fuensanta,210,0
191,jucar,forata,37,0
192,ebro,canelles,688,1
194,ebro,eugui,21,0
195,ebro,oliana,101,0
196,ebro,montearagon,52,0
200,cantabrico occidental,rioseco,4,0
203,guadalquivir,bolera,54,0
204,guadalquivir,cubillas,21,0
209,cuenca mediterranea andaluza,beznar,56,0
212,guadalete barbate,zahara,223,0
215,guadiana,vicario,32,0
216,guadiana,cubilar,10,0
218,guadiana,llerena,9,0
220,guadiana,pto  vallehermoso,7,0
221,guadiana,villar rey,134,0
222,ebro,valdepatao,6,0
223,ebro,terroba,8,0
224,cantabrico oriental,san anton,5,0
226,guadalquivir,aracena,129,0
231,guadalquivir,montoro,105,0
235,guadalquivir,retortillo,73,0
237,guadalquivir,torre aguila,66,0
240,guadalete barbate,almodovar,6,0
241,cuenca mediterranea andaluza,limonero,25,0
242,cuenca mediterranea andaluza,guadarranque,88,0
246,guadiana,tentudia,5,0
247,mino   sil,belesar,655,1
249,duero,almendra,2649,1
250,duero,cervera,11,0
251,duero,san jose,6,0
254,tajo,bolarque,31,1
255,tajo,buendia,1705,0
256,tajo,guijo granadilla,13,1
257,tajo,villar,23,0
258,tajo,valmayor,124,0
261,ebro,irabia,14,1
262,ebro,grado i,400,0
264,ebro,monteagudo,10,0
265,ebro,rialb,404,0
266,ebro,santa ana,237,0
267,ebro,san lorenzo,10,1
273,cantabrico occidental,arbon,41,1
285,guadalquivir,negratin,571,0
287,guadalquivir,viboras,19,0
